Question,Segment Type,Segment Description,Answer,Count,Percentage
Have you ever met up with someone off tinder?,University,"University of California, Los Angeles",Yes,1,0.077
Have you ever met up with someone off tinder?,University,"University of California, Los Angeles",No,7,0.538
Have you ever met up with someone off tinder?,University,"University of California, Los Angeles",I don't use Tinder,5,0.385
Have you ever met up with someone off tinder?,University,"University of California, Santa Barbara",Yes,24,0.32
Have you ever met up with someone off tinder?,University,"University of California, Santa Barbara",No,34,0.453
Have you ever met up with someone off tinder?,University,"University of California, Santa Barbara",I don't use Tinder,17,0.227
Have you ever met up with someone off tinder?,University,University of Colorado Boulder,Yes,3,0.5
Have you ever met up with someone off tinder?,University,University of Colorado Boulder,No,3,0.5
Have you ever met up with someone off tinder?,University,University of Colorado Boulder,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,University of Miami,Yes,0,0
Have you ever met up with someone off tinder?,University,University of Miami,No,0,0
Have you ever met up with someone off tinder?,University,University of Miami,I don't use Tinder,1,1
Have you ever met up with someone off tinder?,University,University of Michigan,Yes,14,0.163
Have you ever met up with someone off tinder?,University,University of Michigan,No,49,0.57
Have you ever met up with someone off tinder?,University,University of Michigan,I don't use Tinder,23,0.267
Have you ever met up with someone off tinder?,University,University of Oregon,Yes,1,0.2
Have you ever met up with someone off tinder?,University,University of Oregon,No,4,0.8
Have you ever met up with someone off tinder?,University,University of Oregon,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,University of Southern California,Yes,1,0.1
Have you ever met up with someone off tinder?,University,University of Southern California,No,7,0.7
Have you ever met up with someone off tinder?,University,University of Southern California,I don't use Tinder,2,0.2
Have you ever met up with someone off tinder?,University,University of Virginia,Yes,3,0.167
Have you ever met up with someone off tinder?,University,University of Virginia,No,7,0.389
Have you ever met up with someone off tinder?,University,University of Virginia,I don't use Tinder,8,0.444
Have you ever met up with someone off tinder?,University,Vanderbilt University,Yes,23,0.235
Have you ever met up with someone off tinder?,University,Vanderbilt University,No,63,0.643
Have you ever met up with someone off tinder?,University,Vanderbilt University,I don't use Tinder,12,0.122
Have you ever met up with someone off tinder?,University,Wesleyan University,Yes,0,0
Have you ever met up with someone off tinder?,University,Wesleyan University,No,2,1
Have you ever met up with someone off tinder?,University,Wesleyan University,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,University of Texas,Yes,12,0.164
Have you ever met up with someone off tinder?,University,University of Texas,No,35,0.479
Have you ever met up with someone off tinder?,University,University of Texas,I don't use Tinder,26,0.356
Have you ever met up with someone off tinder?,University,"University of California, San Diego",Yes,1,1
Have you ever met up with someone off tinder?,University,"University of California, San Diego",No,0,0
Have you ever met up with someone off tinder?,University,"University of California, San Diego",I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,Miami University (Ohio),Yes,0,0
Have you ever met up with someone off tinder?,University,Miami University (Ohio),No,1,0.5
Have you ever met up with someone off tinder?,University,Miami University (Ohio),I don't use Tinder,1,0.5
Have you ever met up with someone off tinder?,University,University of Maine,Yes,0,0
Have you ever met up with someone off tinder?,University,University of Maine,No,3,0.75
Have you ever met up with someone off tinder?,University,University of Maine,I don't use Tinder,1,0.25
Have you ever met up with someone off tinder?,University,Texas Tech University,Yes,3,0.231
Have you ever met up with someone off tinder?,University,Texas Tech University,No,5,0.385
Have you ever met up with someone off tinder?,University,Texas Tech University,I don't use Tinder,5,0.385
Have you ever met up with someone off tinder?,University,University of North Carolina,Yes,1,0.083
Have you ever met up with someone off tinder?,University,University of North Carolina,No,8,0.667
Have you ever met up with someone off tinder?,University,University of North Carolina,I don't use Tinder,3,0.25
Have you ever met up with someone off tinder?,University,University of Arkansas,Yes,12,0.182
Have you ever met up with someone off tinder?,University,University of Arkansas,No,35,0.53
Have you ever met up with someone off tinder?,University,University of Arkansas,I don't use Tinder,19,0.288
Have you ever met up with someone off tinder?,University,University of Mississippi,Yes,2,0.667
Have you ever met up with someone off tinder?,University,University of Mississippi,No,1,0.333
Have you ever met up with someone off tinder?,University,University of Mississippi,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,Baylor University,Yes,2,0.286
Have you ever met up with someone off tinder?,University,Baylor University,No,2,0.286
Have you ever met up with someone off tinder?,University,Baylor University,I don't use Tinder,3,0.429
Have you ever met up with someone off tinder?,University,Texas A&M University,Yes,13,0.241
Have you ever met up with someone off tinder?,University,Texas A&M University,No,29,0.537
Have you ever met up with someone off tinder?,University,Texas A&M University,I don't use Tinder,12,0.222
Have you ever met up with someone off tinder?,University,University of Oklahoma,Yes,0,0
Have you ever met up with someone off tinder?,University,University of Oklahoma,No,4,0.8
Have you ever met up with someone off tinder?,University,University of Oklahoma,I don't use Tinder,1,0.2
Have you ever met up with someone off tinder?,University,Yale University,Yes,1,1
Have you ever met up with someone off tinder?,University,Yale University,No,0,0
Have you ever met up with someone off tinder?,University,Yale University,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,Cal Poly San Luis Obispo,Yes,8,0.32
Have you ever met up with someone off tinder?,University,Cal Poly San Luis Obispo,No,10,0.4
Have you ever met up with someone off tinder?,University,Cal Poly San Luis Obispo,I don't use Tinder,7,0.28
Have you ever met up with someone off tinder?,University,Carnegie Mellon University,Yes,1,0.25
Have you ever met up with someone off tinder?,University,Carnegie Mellon University,No,3,0.75
Have you ever met up with someone off tinder?,University,Carnegie Mellon University,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,Clemson University,Yes,2,0.5
Have you ever met up with someone off tinder?,University,Clemson University,No,0,0
Have you ever met up with someone off tinder?,University,Clemson University,I don't use Tinder,2,0.5
Have you ever met up with someone off tinder?,University,University of Denver,Yes,1,1
Have you ever met up with someone off tinder?,University,University of Denver,No,0,0
Have you ever met up with someone off tinder?,University,University of Denver,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,University of Washington,Yes,0,0
Have you ever met up with someone off tinder?,University,University of Washington,No,3,0.75
Have you ever met up with someone off tinder?,University,University of Washington,I don't use Tinder,1,0.25
Have you ever met up with someone off tinder?,University,University of Illinois,Yes,10,0.213
Have you ever met up with someone off tinder?,University,University of Illinois,No,29,0.617
Have you ever met up with someone off tinder?,University,University of Illinois,I don't use Tinder,8,0.17
Have you ever met up with someone off tinder?,University,New York University,Yes,1,0.333
Have you ever met up with someone off tinder?,University,New York University,No,2,0.667
Have you ever met up with someone off tinder?,University,New York University,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,Butler University,Yes,7,0.103
Have you ever met up with someone off tinder?,University,Butler University,No,44,0.647
Have you ever met up with someone off tinder?,University,Butler University,I don't use Tinder,17,0.25
Have you ever met up with someone off tinder?,University,Washington University in St. Louis,Yes,1,0.125
Have you ever met up with someone off tinder?,University,Washington University in St. Louis,No,5,0.625
Have you ever met up with someone off tinder?,University,Washington University in St. Louis,I don't use Tinder,2,0.25
Have you ever met up with someone off tinder?,University,Northern Illinois University,Yes,0,0
Have you ever met up with someone off tinder?,University,Northern Illinois University,No,1,0.5
Have you ever met up with someone off tinder?,University,Northern Illinois University,I don't use Tinder,1,0.5
Have you ever met up with someone off tinder?,University,University of Iowa,Yes,1,0.333
Have you ever met up with someone off tinder?,University,University of Iowa,No,1,0.333
Have you ever met up with someone off tinder?,University,University of Iowa,I don't use Tinder,1,0.333
Have you ever met up with someone off tinder?,University,Dartmouth College,Yes,5,0.5
Have you ever met up with someone off tinder?,University,Dartmouth College,No,3,0.3
Have you ever met up with someone off tinder?,University,Dartmouth College,I don't use Tinder,2,0.2
Have you ever met up with someone off tinder?,University,Loyola Marymount University,Yes,0,0
Have you ever met up with someone off tinder?,University,Loyola Marymount University,No,1,1
Have you ever met up with someone off tinder?,University,Loyola Marymount University,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,Williams College,Yes,0,0
Have you ever met up with someone off tinder?,University,Williams College,No,0,0
Have you ever met up with someone off tinder?,University,Williams College,I don't use Tinder,1,1
Have you ever met up with someone off tinder?,University,University of Maryland,Yes,1,1
Have you ever met up with someone off tinder?,University,University of Maryland,No,0,0
Have you ever met up with someone off tinder?,University,University of Maryland,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,UMass Amherst,Yes,3,0.25
Have you ever met up with someone off tinder?,University,UMass Amherst,No,6,0.5
Have you ever met up with someone off tinder?,University,UMass Amherst,I don't use Tinder,3,0.25
Have you ever met up with someone off tinder?,University,University of Arizona,Yes,4,0.364
Have you ever met up with someone off tinder?,University,University of Arizona,No,4,0.364
Have you ever met up with someone off tinder?,University,University of Arizona,I don't use Tinder,3,0.273
Have you ever met up with someone off tinder?,University,Texas Christian University,Yes,8,0.308
Have you ever met up with someone off tinder?,University,Texas Christian University,No,8,0.308
Have you ever met up with someone off tinder?,University,Texas Christian University,I don't use Tinder,10,0.385
Have you ever met up with someone off tinder?,University,Emory University,Yes,1,0.2
Have you ever met up with someone off tinder?,University,Emory University,No,3,0.6
Have you ever met up with someone off tinder?,University,Emory University,I don't use Tinder,1,0.2
Have you ever met up with someone off tinder?,University,Columbia University,Yes,2,0.333
Have you ever met up with someone off tinder?,University,Columbia University,No,3,0.5
Have you ever met up with someone off tinder?,University,Columbia University,I don't use Tinder,1,0.167
Have you ever met up with someone off tinder?,University,Purdue University,Yes,5,0.192
Have you ever met up with someone off tinder?,University,Purdue University,No,13,0.5
Have you ever met up with someone off tinder?,University,Purdue University,I don't use Tinder,8,0.308
Have you ever met up with someone off tinder?,University,Tufts University,Yes,3,0.429
Have you ever met up with someone off tinder?,University,Tufts University,No,2,0.286
Have you ever met up with someone off tinder?,University,Tufts University,I don't use Tinder,2,0.286
Have you ever met up with someone off tinder?,University,University of Richmond,Yes,2,0.111
Have you ever met up with someone off tinder?,University,University of Richmond,No,9,0.5
Have you ever met up with someone off tinder?,University,University of Richmond,I don't use Tinder,7,0.389
Have you ever met up with someone off tinder?,University,Quinnipiac University,Yes,0,0
Have you ever met up with someone off tinder?,University,Quinnipiac University,No,2,1
Have you ever met up with someone off tinder?,University,Quinnipiac University,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,United States Naval Academy,Yes,0,0
Have you ever met up with someone off tinder?,University,United States Naval Academy,No,3,0.429
Have you ever met up with someone off tinder?,University,United States Naval Academy,I don't use Tinder,4,0.571
Have you ever met up with someone off tinder?,University,"University of California, Santa Cruz",Yes,2,0.667
Have you ever met up with someone off tinder?,University,"University of California, Santa Cruz",No,1,0.333
Have you ever met up with someone off tinder?,University,"University of California, Santa Cruz",I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,Rice University ,Yes,1,0.167
Have you ever met up with someone off tinder?,University,Rice University ,No,4,0.667
Have you ever met up with someone off tinder?,University,Rice University ,I don't use Tinder,1,0.167
Have you ever met up with someone off tinder?,University,Mississippi State University,Yes,4,0.364
Have you ever met up with someone off tinder?,University,Mississippi State University,No,6,0.545
Have you ever met up with someone off tinder?,University,Mississippi State University,I don't use Tinder,1,0.091
Have you ever met up with someone off tinder?,University,University of Missouri,Yes,7,0.233
Have you ever met up with someone off tinder?,University,University of Missouri,No,15,0.5
Have you ever met up with someone off tinder?,University,University of Missouri,I don't use Tinder,8,0.267
Have you ever met up with someone off tinder?,University,University of Georgia,Yes,1,0.091
Have you ever met up with someone off tinder?,University,University of Georgia,No,9,0.818
Have you ever met up with someone off tinder?,University,University of Georgia,I don't use Tinder,1,0.091
Have you ever met up with someone off tinder?,University,Louisiana State University,Yes,2,0.25
Have you ever met up with someone off tinder?,University,Louisiana State University,No,4,0.5
Have you ever met up with someone off tinder?,University,Louisiana State University,I don't use Tinder,2,0.25
Have you ever met up with someone off tinder?,University,Lehigh University,Yes,0,0
Have you ever met up with someone off tinder?,University,Lehigh University,No,2,0.667
Have you ever met up with someone off tinder?,University,Lehigh University,I don't use Tinder,1,0.333
Have you ever met up with someone off tinder?,University,Northern Arizona University,Yes,1,1
Have you ever met up with someone off tinder?,University,Northern Arizona University,No,0,0
Have you ever met up with someone off tinder?,University,Northern Arizona University,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,Elon University,Yes,0,0
Have you ever met up with someone off tinder?,University,Elon University,No,4,0.667
Have you ever met up with someone off tinder?,University,Elon University,I don't use Tinder,2,0.333
Have you ever met up with someone off tinder?,University,Vassar College,Yes,1,0.5
Have you ever met up with someone off tinder?,University,Vassar College,No,1,0.5
Have you ever met up with someone off tinder?,University,Vassar College,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,University of Pittsburgh,Yes,0,0
Have you ever met up with someone off tinder?,University,University of Pittsburgh,No,0,0
Have you ever met up with someone off tinder?,University,University of Pittsburgh,I don't use Tinder,2,1
Have you ever met up with someone off tinder?,University,University of Chicago,Yes,2,0.4
Have you ever met up with someone off tinder?,University,University of Chicago,No,1,0.2
Have you ever met up with someone off tinder?,University,University of Chicago,I don't use Tinder,2,0.4
Have you ever met up with someone off tinder?,University,University of Buffalo,Yes,0,0
Have you ever met up with someone off tinder?,University,University of Buffalo,No,0,0
Have you ever met up with someone off tinder?,University,University of Buffalo,I don't use Tinder,1,1
Have you ever met up with someone off tinder?,University,University of Minnesota,Yes,2,0.5
Have you ever met up with someone off tinder?,University,University of Minnesota,No,1,0.25
Have you ever met up with someone off tinder?,University,University of Minnesota,I don't use Tinder,1,0.25
Have you ever met up with someone off tinder?,University,Colorado State University,Yes,0,0
Have you ever met up with someone off tinder?,University,Colorado State University,No,3,1
Have you ever met up with someone off tinder?,University,Colorado State University,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,Skidmore College,Yes,0,0
Have you ever met up with someone off tinder?,University,Skidmore College,No,1,1
Have you ever met up with someone off tinder?,University,Skidmore College,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,Rochester Institute of Technology,Yes,0,0
Have you ever met up with someone off tinder?,University,Rochester Institute of Technology,No,2,1
Have you ever met up with someone off tinder?,University,Rochester Institute of Technology,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,Arizona State University,Yes,0,0
Have you ever met up with someone off tinder?,University,Arizona State University,No,1,0.5
Have you ever met up with someone off tinder?,University,Arizona State University,I don't use Tinder,1,0.5
Have you ever met up with someone off tinder?,University,University of Rochester,Yes,1,0.333
Have you ever met up with someone off tinder?,University,University of Rochester,No,2,0.667
Have you ever met up with someone off tinder?,University,University of Rochester,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,University of St Andrews,Yes,0,0
Have you ever met up with someone off tinder?,University,University of St Andrews,No,2,0.667
Have you ever met up with someone off tinder?,University,University of St Andrews,I don't use Tinder,1,0.333
Have you ever met up with someone off tinder?,University,Florida State University,Yes,0,0
Have you ever met up with someone off tinder?,University,Florida State University,No,0,0
Have you ever met up with someone off tinder?,University,Florida State University,I don't use Tinder,1,1
Have you ever met up with someone off tinder?,University,Ithaca College,Yes,1,0.25
Have you ever met up with someone off tinder?,University,Ithaca College,No,2,0.5
Have you ever met up with someone off tinder?,University,Ithaca College,I don't use Tinder,1,0.25
Have you ever met up with someone off tinder?,University,Union College,Yes,1,0.111
Have you ever met up with someone off tinder?,University,Union College,No,7,0.778
Have you ever met up with someone off tinder?,University,Union College,I don't use Tinder,1,0.111
Have you ever met up with someone off tinder?,University,Loyola University Maryland,Yes,0,0
Have you ever met up with someone off tinder?,University,Loyola University Maryland,No,3,1
Have you ever met up with someone off tinder?,University,Loyola University Maryland,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,Marquette University,Yes,1,0.5
Have you ever met up with someone off tinder?,University,Marquette University,No,1,0.5
Have you ever met up with someone off tinder?,University,Marquette University,I don't use Tinder,0,0
