Question,Segment Type,Segment Description,Answer,Count,Percentage
Have you ever met up with someone off tinder?,University,"Meridian, Idaho",I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,University of Dayton,Yes,4,0.571
Have you ever met up with someone off tinder?,University,University of Dayton,No,3,0.429
Have you ever met up with someone off tinder?,University,University of Dayton,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,University of Kansas,Yes,3,0.3
Have you ever met up with someone off tinder?,University,University of Kansas,No,5,0.5
Have you ever met up with someone off tinder?,University,University of Kansas,I don't use Tinder,2,0.2
Have you ever met up with someone off tinder?,University,Morehead State University,Yes,0,0
Have you ever met up with someone off tinder?,University,Morehead State University,No,0,0
Have you ever met up with someone off tinder?,University,Morehead State University,I don't use Tinder,1,1
Have you ever met up with someone off tinder?,University,University of Central Oklahoma,Yes,1,0.5
Have you ever met up with someone off tinder?,University,University of Central Oklahoma,No,0,0
Have you ever met up with someone off tinder?,University,University of Central Oklahoma,I don't use Tinder,1,0.5
Have you ever met up with someone off tinder?,University,Syracuse University,Yes,4,0.444
Have you ever met up with someone off tinder?,University,Syracuse University,No,4,0.444
Have you ever met up with someone off tinder?,University,Syracuse University,I don't use Tinder,1,0.111
Have you ever met up with someone off tinder?,University,Colby College,Yes,1,0.071
Have you ever met up with someone off tinder?,University,Colby College,No,11,0.786
Have you ever met up with someone off tinder?,University,Colby College,I don't use Tinder,2,0.143
Have you ever met up with someone off tinder?,University,Brigham Young University,Yes,1,0.125
Have you ever met up with someone off tinder?,University,Brigham Young University,No,3,0.375
Have you ever met up with someone off tinder?,University,Brigham Young University,I don't use Tinder,4,0.5
Have you ever met up with someone off tinder?,University,Arkansas State University,Yes,0,0
Have you ever met up with someone off tinder?,University,Arkansas State University,No,1,1
Have you ever met up with someone off tinder?,University,Arkansas State University,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,"Westport, CT",Yes,0,0
Have you ever met up with someone off tinder?,University,"Westport, CT",No,0,0
Have you ever met up with someone off tinder?,University,"Westport, CT",I don't use Tinder,1,1
Have you ever met up with someone off tinder?,University,Centre College,Yes,0,0
Have you ever met up with someone off tinder?,University,Centre College,No,3,0.75
Have you ever met up with someone off tinder?,University,Centre College,I don't use Tinder,1,0.25
Have you ever met up with someone off tinder?,University,Middlebury College,Yes,1,1
Have you ever met up with someone off tinder?,University,Middlebury College,No,0,0
Have you ever met up with someone off tinder?,University,Middlebury College,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,North Carolina State,Yes,1,1
Have you ever met up with someone off tinder?,University,North Carolina State,No,0,0
Have you ever met up with someone off tinder?,University,North Carolina State,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,University of Kentucky,Yes,0,0
Have you ever met up with someone off tinder?,University,University of Kentucky,No,1,1
Have you ever met up with someone off tinder?,University,University of Kentucky,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,Bucknell University,Yes,1,1
Have you ever met up with someone off tinder?,University,Bucknell University,No,0,0
Have you ever met up with someone off tinder?,University,Bucknell University,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,Randolph-Macon College,Yes,0,0
Have you ever met up with someone off tinder?,University,Randolph-Macon College,No,0,0
Have you ever met up with someone off tinder?,University,Randolph-Macon College,I don't use Tinder,1,1
Have you ever met up with someone off tinder?,University,Old Dominion University,Yes,1,1
Have you ever met up with someone off tinder?,University,Old Dominion University,No,0,0
Have you ever met up with someone off tinder?,University,Old Dominion University,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,University of Tampa,Yes,0,0
Have you ever met up with someone off tinder?,University,University of Tampa,No,1,1
Have you ever met up with someone off tinder?,University,University of Tampa,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,Roger Williams University,Yes,0,0
Have you ever met up with someone off tinder?,University,Roger Williams University,No,1,1
Have you ever met up with someone off tinder?,University,Roger Williams University,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,Penn State University,Yes,4,0.4
Have you ever met up with someone off tinder?,University,Penn State University,No,5,0.5
Have you ever met up with someone off tinder?,University,Penn State University,I don't use Tinder,1,0.1
Have you ever met up with someone off tinder?,University,Minnesota State University Mankato,Yes,1,1
Have you ever met up with someone off tinder?,University,Minnesota State University Mankato,No,0,0
Have you ever met up with someone off tinder?,University,Minnesota State University Mankato,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,University of Florida,Yes,0,0
Have you ever met up with someone off tinder?,University,University of Florida,No,1,1
Have you ever met up with someone off tinder?,University,University of Florida,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,Boston College,Yes,0,0
Have you ever met up with someone off tinder?,University,Boston College,No,4,0.8
Have you ever met up with someone off tinder?,University,Boston College,I don't use Tinder,1,0.2
Have you ever met up with someone off tinder?,University,Boston University,Yes,2,0.333
Have you ever met up with someone off tinder?,University,Boston University,No,3,0.5
Have you ever met up with someone off tinder?,University,Boston University,I don't use Tinder,1,0.167
